date,Unnamed: 0,number of fans,number of likes,number of dislikes,number clicks contact,number clicks engagement,paid likes,unpaid likes,paid distribution,organic distribution,viral distribution,video 3s,video 30s
2021-12-04,0,5226,0,2,0,68,0,0,4108,410,14,252,65
2021-12-05,1,5226,1,1,0,76,0,1,3755,245,4,281,64
2021-12-06,2,5227,2,1,0,41,0,2,3210,81,3,170,27
2021-12-07,3,5226,0,1,0,67,0,0,3547,175,15,165,20
2021-12-08,4,5226,0,0,0,110,0,0,3160,231,8,125,8
2021-12-09,5,5229,3,2,0,362,0,3,3657,293,4,99,6
2021-12-10,6,5229,0,0,0,87,0,0,4325,335,5,136,21
2021-12-11,7,5228,0,1,0,84,0,0,4346,243,19,120,14
2021-12-12,8,5228,0,0,0,75,0,0,4167,143,12,161,26
2021-12-13,9,5229,1,1,0,35,0,1,2063,53,13,43,7
2021-12-14,10,5230,1,0,1,90,0,1,3213,219,1,110,22
2021-12-15,11,5228,0,2,0,43,0,0,3173,317,4,86,12
2021-12-16,12,5226,0,2,0,63,0,0,3516,213,6,130,26
2021-12-17,13,5227,1,0,0,76,0,1,4103,165,10,136,21
2021-12-18,14,5225,0,1,0,22,0,0,2649,304,13,4,2
2021-12-19,15,5224,0,1,0,178,0,0,3245,207,22,166,13
2021-12-20,16,5222,0,2,0,49,0,0,2788,84,7,64,8
2021-12-21,17,5220,0,1,0,73,0,0,4209,183,4,89,4
2021-12-22,18,5220,1,2,0,97,0,1,4271,568,0,79,5
2021-12-23,19,5219,1,2,0,87,0,1,4258,254,10,141,9
2021-12-24,20,5217,1,3,0,59,0,1,3524,216,14,38,2
2021-12-25,21,5218,1,0,1,212,0,1,3937,250,9,149,2
2021-12-26,22,5217,0,1,0,60,0,0,3111,134,8,108,9
2021-12-27,23,5216,0,1,0,79,0,0,3102,83,11,130,12
2021-12-28,24,5219,3,0,0,73,0,3,3795,175,16,157,22
2021-12-29,25,5219,1,1,0,79,0,1,2752,455,15,113,8
2021-12-30,26,5218,1,1,0,75,0,1,4356,250,14,81,8
2021-12-31,27,5219,1,0,0,89,0,1,5450,250,1,138,14
2022-01-01,28,5219,0,0,0,83,0,0,5575,219,3,59,6
2022-01-02,29,5220,1,0,0,113,0,1,5895,201,3,268,30
2022-01-03,30,5220,0,0,0,116,0,0,7407,75,5,383,32
2022-01-04,31,5221,1,0,0,122,0,1,7210,282,10,159,13
2022-01-05,32,5221,0,0,0,110,0,0,6841,421,17,198,14
2022-01-06,33,5221,0,0,0,110,0,0,6411,154,11,98,2
2022-01-07,34,5222,1,0,0,145,0,1,6733,163,4,253,18
2022-01-08,35,5222,0,0,0,64,0,0,5163,184,4,136,9
2022-01-09,36,5223,1,0,0,77,0,1,4953,124,8,244,19
2022-01-10,37,5223,0,0,0,59,0,0,4664,42,6,153,22
2022-01-11,38,5224,2,1,0,83,0,2,4900,81,2,168,21
2022-01-12,39,5225,1,0,0,77,0,1,4158,304,3,245,19
2022-01-13,40,5226,1,0,0,61,0,1,4513,192,4,210,13
2022-01-14,41,5226,0,0,0,65,0,0,3761,136,6,222,23
2022-01-15,42,5226,1,1,0,68,0,1,3449,125,3,163,15
2022-01-16,43,5225,0,0,0,82,0,0,4187,74,10,276,23
2022-01-17,44,5228,3,0,0,57,0,3,3125,78,14,136,9
2022-01-18,45,5228,0,0,0,73,0,0,3913,174,17,271,22
2022-01-19,46,5228,0,0,0,68,0,0,3478,308,21,266,22
2022-01-20,47,5227,0,1,0,68,0,0,3848,184,21,225,29
2022-01-21,48,5225,0,2,0,68,0,0,3833,187,25,286,34
2022-01-22,49,5225,0,0,0,57,0,0,3087,149,9,225,29
2022-01-23,50,5225,0,0,0,75,0,0,3396,167,30,210,14
2022-01-24,51,5226,2,1,0,69,0,2,3457,84,18,140,15
2022-01-25,52,5227,2,1,0,44,0,2,3567,119,12,205,20
2022-01-26,53,5225,1,2,0,68,0,1,3401,267,6,202,17
