Ad ID ,Category ,Locations ,Posted ,Brand,Model,Year,Tax Type,Condition,Color,Link,Title,Price
9450808,Motorcycles for Sale,Phnom Penh,12-Jun-23,Honda,Dream,2020,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/honda-dream-125cc-2020-adid-9450808.html,Honda Dream 125cc 2020,"$1,600"
9575237,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Beat,2019,Plate Number,Used,Blue,https://www.khmer24.com/en/motorcycles/honda-beat2019-adid-9575237.html,Honda beat2019,"$1,320"
9575244,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Scoopy i,2015,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/scoopyi-015-adid-9575244.html,Scoopyi-015,$680
9575251,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Zoomer-X,2018,Tax Paper,Used,Red,https://www.khmer24.com/en/motorcycles/%E1%9E%9B%E1%9E%80%E1%9E%92%E1%9E%90%E1%9E%9B-adid-9575251.html,លក់ធូថ្លៃ,$750
9296588,Motorcycles for Sale,Phnom Penh,12-Jun-23,Honda,Scoopy i,2014,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/scoopy-i-adid-9296588.html,Scoopy i,$990
9429845,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Super Cub,2020,Tax Paper,Used,Other,https://www.khmer24.com/en/motorcycles/supercub110cc-2020-%E1%9E%80%E1%9E%94%E1%9E%9A%E1%9E%80%E1%9E%9F-adid-9429845.html,SuperCub110CC 2020 ​ក្បែរកេស,"$2,550"
9575242,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Other - ផ្សេងៗ,2017,Plate Number,Used,Other,https://www.khmer24.com/en/motorcycles/honda-zoomer-x-zin-year-2017-japan-%E1%9E%98%E1%9E%93%E1%9E%96%E1%9E%93%E1%9E%92%E1%9E%80%E1%9E%8F%E1%9E%82%E1%9E%9A-adid-9575242.html,Honda zoomer X zin year 2017 Japan មានពន្ធកាតគ្រី,$690
9575245,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Scoopy i,2015,Plate Number,Used,Red,https://www.khmer24.com/en/motorcycles/honda-scoopy-2015-adid-9575245.html,Honda scoopy 2015,$950
9575240,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Beat,2018,Plate Number,Used,Other,https://www.khmer24.com/en/motorcycles/beat-018-%E1%9E%80%E1%9E%9A%E1%9E%98%E1%9E%A0%E1%9E%93-%E1%9E%98%E1%9E%9F%E1%9E%93%E1%9E%8F%E1%9E%93%E1%9E%A0%E1%9E%94%E1%9E%93%E1%9E%93%E1%9E%9F%E1%9E%8E%E1%9E%A0%E1%9E%9F%E1%9E%93%E1%9E%87%E1%9E%9F%E1%9E%9A%E1%9E%9B%E1%9E%9F%E1%9E%91%E1%9E%98%E1%9E%93%E1%9E%9B%E1%9E%93%E1%9E%98%E1%9E%93%E1%9E%A0%E1%9E%99%E1%9E%98%E1%9E%93%E1%9E%96%E1%9E%93%E1%9E%92%E1%9E%80%E1%9E%8F%E1%9E%82%E1%9E%9A%E1%9E%A0%E1%9E%9F%E1%9E%93-adid-9575240.html,Beat 018 ក្រុមហ៊ុន ម៉ាស៊ីនតាន់ហាប់នែនសំណុំហ្សីនជិះស្រួលស្ទុះមិនលាន់មិនហុយមានពន្ធកាតគ្រឺហ្សីន,"$1,299"
9575232,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Beat,2021,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-beat2021-adid-9575232.html,Honda beat2021,"$1,590"
